Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP12;qValue;fold;log2(fold)
;9304;10410;;+;-;SCO0006;ATP/GTP-binding protein;1;1;1;1;0
;15029;14739;;-;-;SCO0013;hypothetical protein;1;1;1;1;0
;17715;17918;;+;-;SCO0016;hypothetical protein;1;1;1;1;0
;19771;19517;;-;-;SCO0019;hypothetical protein;1;1;1;1;0
;22761;22156;;-;-;SCO0022;IS element ATP-binding protein;1;1;1;1;0
;25251;25871;;+;-;SCO0030;hypothetical protein;1;1;1;1;0
;31520;32137;;+;-;SCO0039;hypothetical protein;1;1;1;1;0
;32134;33357;;+;-;SCO0040;glycosyl transferase;1;1;1;1;0
;33360;33845;;+;-;SCO0041;hypothetical protein;1;1;1;1;0
;33842;34777;;+;-;SCO0042;hypothetical protein;1;1;1;1;0
;56225;59383;;+;-;SCO0069;hypothetical protein;1;1;1;1;0
;72139;71648;;-;-;SCO0085;hypothetical protein;1;1;1;1;0
;103628;104989;;+;-;SCO0124;hypothetical protein;1;1;1;1;0
;146977;148206;;+;-;SCO0158;oxidoreductase;1;1;1;1;0
;148216;149184;;+;-;SCO0159;ECF sigma factor;1;1;1;1;0
;150525;150181;;-;-;SCO0161;hypothetical protein;1;1;1;1;0
;170911;172158;;+;-;SCO0183;deoxiribopirymidine photolyase;1;1;1;1;0
;218780;218418;;-;-;SCO0227;hypothetical protein;1;1;1;1;0
;218973;219059;;+;-;SCO0228;hypothetical protein;1;1;1;1;0
;222827;223288;;+;-;SCO0234;oxidoreductase;1;1;1;1;0
;263285;264634;;+;-;SCO0273;substrate binding protein;1;1;1;1;0
;284702;285598;;+;-;SCO0292;sugar ABC-transporter integral membrane protein;1;1;1;1;0
;310378;311727;;+;-;SCO0313;transmembrane transport protein;1;1;1;1;0
;327616;325238;;-;-;SCO0324;hypothetical protein;1;1;1;1;0
;327899;328264;;+;-;SCO0325;hypothetical protein;1;1;1;1;0
;335734;334223;;-;-;SCO0333;dioxygenase;1;1;1;1;0
;335948;336292;;+;-;SCO0334;hypothetical protein;1;1;1;1;0
;341909;341370;;-;-;SCO0338;dehydrogenase;1;1;1;1;0
;368143;369252;;+;-;SCO0363;hypothetical protein;1;1;1;1;0
;377255;373998;;-;-;SCO0369;hypothetical protein;1;1;1;1;0
;380690;377286;;-;-;SCO0370;DNA-binding protein;1;1;1;1;0
;383360;380751;;-;-;SCO0371;hypothetical protein;1;1;1;1;0
;386592;383578;;-;-;SCO0372;hypothetical protein;1;1;1;1;0
;434589;433984;;-;-;SCO0416;hypothetical protein;1;1;1;1;0
;472458;473747;;+;-;SCO0453;solute-binding lipoprotein;1;1;1;1;0
;500780;501412;;+;-;SCO0480;hypothetical protein;1;1;1;1;0
;543535;543119;;-;-;SCO0507;hypothetical protein;1;1;1;1;0
;566007;567626;;+;-;SCO0534;beta-hexosaminidase;1;1;1;1;0
;572810;573709;;+;-;SCO0540;sugar transport membrane protein;1;1;1;1;0
;580913;583459;;+;-;SCO0545;hypothetical protein;1;1;1;1;0
;587988;586987;;-;-;SCO0547;acyltransferase;1;1;1;1;0
;589271;587985;;-;-;SCO0548;3-oxoacyl-ACP synthase;1;1;1;1;0
;595338;593641;;-;-;SCO0554;beta-mannosidase;1;1;1;1;0
;607837;606677;;-;-;SCO0564;hypothetical protein;1;1;1;1;0
;653165;652881;;-;-;SCO0614;hypothetical protein;1;1;1;1;0
;685095;684409;;-;-;SCO0643;cellulose-binding protein;1;1;1;1;0
;691320;691832;;+;-;SCO0650;gas vesicle synthesis-like protein;1;1;1;1;0
;691829;692614;;+;-;SCO0651;gas vesicle synthesis protein;1;1;1;1;0
;694782;695624;;+;-;SCO0656;gas vesicle synthesis protein;1;1;1;1;0
;695660;695869;;+;-;SCO0657;gas vesicle synthesis protein;1;1;1;1;0
;695866;696168;;+;-;SCO0658;gas vesicle synthesis protein;1;1;1;1;0
;749279;748380;;-;-;SCO0708;branched-chain amino acid ABC transporter;1;1;1;1;0
;750864;750073;;-;-;SCO0710;branched-chain amino acid ABC transporter ATP-binding protein;1;1;1;1;0
;753197;751917;;-;-;SCO0711;hypothetical protein;1;1;1;1;0
;757246;756314;;-;-;SCO0713;lipase;1;1;1;1;0
;823299;822061;;-;-;SCO0774;cytochrome P450;1;1;1;1;0
;836721;837377;;+;-;SCO0790;hydrolase;1;1;1;1;0
;858172;857132;;-;-;SCO0810;ABC transporter permease;1;1;1;1;0
;859686;858169;;-;-;SCO0811;ABC transporter ATP-binding protein;1;1;1;1;0
;880219;879140;;-;-;SCO0830;penicillin-binding protein;1;1;1;1;0
;922175;921927;;-;-;SCO0876;hypothetical protein;1;1;1;1;0
;936329;935622;;-;-;SCO0890;short chain oxidoreductase;1;1;1;1;0
;939627;941063;;+;-;SCO0894;hypothetical protein;1;1;1;1;0
;999210;997963;;-;-;SCO0949;hypothetical protein;1;1;1;1;0
;1071656;1071312;;-;-;SCO1015;hypothetical protein;1;1;1;1;0
;1091114;1088547;;-;-;SCO1031;ABC transporter;1;1;1;1;0
;1091860;1091111;;-;-;SCO1032;ABC transporter ATP-binding protein;1;1;1;1;0
;1108778;1108110;;-;-;SCO1052;regulatory protein;1;1;1;1;0
;1123006;1120925;;-;-;SCO1062;hydrolase;1;1;1;1;0
;1123960;1123067;;-;-;SCO1063;sugar transport integral membrane protein;1;1;1;1;0
;1124898;1123963;;-;-;SCO1064;sugar transport integral membrane protein;1;1;1;1;0
;1126256;1124895;;-;-;SCO1065;sugar transport sugar binding protein;1;1;1;1;0
;1221178;1218590;;-;-;SCO1160;hypothetical protein;1;1;1;1;0
;1300331;1297131;;-;-;SCO1226;hypothetical protein;1;1;1;1;0
;1342317;1341355;;-;-;SCO1271;3-oxoacyl-ACP synthase;1;1;1;1;0
;1353410;1352088;;-;-;SCO1281;oxidoreductase;1;1;1;1;0
;1353985;1353407;;-;-;SCO1282;oxidoreductase;1;1;1;1;0
;1355912;1354527;;-;-;SCO1284;aminotransferase;1;1;1;1;0
;1359243;1358281;;-;-;SCO1287;hypothetical protein;1;1;1;1;0
;1359733;1359227;;-;-;SCO1288;hypothetical protein;1;1;1;1;0
;1432225;1431662;;-;-;SCO1354;hypothetical protein;1;1;1;1;0
;1433899;1432286;;-;-;SCO1355;serine protease;1;1;1;1;0
;1445792;1444653;;-;-;SCO1368;ABC transporter;1;1;1;1;0
;1695109;1692635;;-;-;SCO1583;arabinosidase;1;1;1;1;0
;1724729;1723278;;-;-;SCO1612;aldehyde dehydrogenase;1;1;1;1;0
;1843034;1842282;;-;-;SCO1722;hypothetical protein;1;1;1;1;0
;1998165;1996945;;-;-;SCO1863;hypothetical protein;1;1;1;1;0
;2012792;2011647;;-;-;SCO1879;pectinesterase;1;1;1;1;0
;2014193;2012859;;-;-;SCO1880;pectate lyase;1;1;1;1;0
;2033731;2034675;;+;-;SCO1899;integral membrane sugar transport protein;1;1;1;1;0
;2179318;2180595;;+;-;SCO2029;hypothetical protein;1;1;1;1;0
;2181758;2183161;;+;-;SCO2031;hypothetical protein;1;1;1;1;0
