Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP11;qValue;fold;log2(fold)
;200728;201369;201369;+;-;SCO0210;hypothetical protein;38;1;0;38;5,247927513
;210183;211751;;+;-;SCO0217;nitrate reductase subunit beta NarH2;58;1;0;58;5,857980995
168602;;;168515;-;-;predicted RNA;-;223;2;0;111,5;6,8008999
;190830;189925;189925;-;-;SCO0200;hypothetical protein;159;3;0;53;5,727920455
;168514;167444;;-;-;SCO0179;zinc-containing dehydrogenase;240;8;0;30;4,906890596
5381074;5381148;5384831;5384831;+;-;SCO4947;nitrate reductase subunit alpha NarG3;1;47;0;0,021276596;-5,554588852
;6942543;6941746;;-;-;SCO6282;3-oxoacyl-ACP reductase;9;252;0;0,035714286;-4,807354922
4623610;4623433;4622993;4622307;-;-;SCO4214;AbaA-like regulatory protein;28;893;0;0,031354983;-4,995161443
3753228;3753213;3752539;3752539;-;-;SCO3389;two component system response regulator;62;1381;0;0,044895004;-4,477301294
2962051;2962014;2961619;2961539;-;-;SCO2718;hypothetical protein;13;257;8,20E-254;0,050583658;-4,305184831
170570;170570;169584;169584;-;-;SCO0181;hypothetical protein;171;5;2,10E-250;34,2;5,09592442
2257658;;;2257448;-;-;predicted RNA;antisense: SCO2100;9;197;2,05E-199;0,045685279;-4,452126818
6938012;6938012;6939643;6939643;+;-;SCO6280;regulatory protein;5;81;1,63E-188;0,061728395;-4,017921908
200451;;;200467;+;-;predicted RNA;-;215;7;5,04E-173;30,71428571;4,940837928
191654;191654;190983;190983;-;-;SCO0201;hypothetical protein;335;16;2,89E-169;20,9375;4,388017285
;158073;157189;;-;-;SCO0167;hypothetical protein;267;13;5,60E-163;20,53846154;4,360256214
3914516;;;3915929;+;-;predicted RNA;antisense: SCO3542 SCO3543;45;554;1,03E-132;0,081227437;-3,62188907
206480;206480;210181;210181;+;-;SCO0216;nitrate reductase subunit alpha NarG2;86;5;6,51E-132;17,2;4,10433666
;161237;162553;;+;-;SCO0171;nicotinate phosphoribosyltransferase;88;3;1,34E-128;29,33333333;4,874469118
3602609;;;3602684;+;-;SCOt27;Arg tRNA;1;38;1,64E-128;0,026315789;-5,247927513
8414365;8414277;8413357;8413357;-;-;SCO7588;oxidoreductase;1764;152;2,97E-127;11,60526316;3,536707332
;200024;200428;;+;-;SCO0209;hypothetical protein;181;7;3,74E-122;25,85714286;4,692490965
2961538;;;2961498;-;-;predicted RNA;-;7;158;7,25E-96;0,044303797;-4,496425826
4627302;;;4626865;-;-;predicted RNA;antisense: SCO4219;114;1180;4,24E-94;0,096610169;-3,37168113
2961368;2961331;2961104;2961083;-;-;SCO2717;small membrane protein;13;193;5,22E-93;0,067357513;-3,892017319
6014943;6015052;6015183;6015189;+;-;SCO5521;hypothetical protein;7;134;1,99E-91;0,052238806;-4,258734268
;166033;166614;;+;-;SCO0177;hypothetical protein;160;8;4,11E-87;20;4,321928095
;1742654;1742238;1742238;-;-;SCO1628;hypothetical protein;2;42;7,90E-87;0,047619048;-4,392317423
3847517;;;3847592;+;-;predicted RNA;antisense: SCO3483;7;140;1,16E-81;0,05;-4,321928095
3663827;;;3663749;-;-;predicted RNA;antisense: SCO3312;10;173;2,02E-79;0,057803468;-4,112700133
6085969;6086031;6087377;;+;-;SCO5583;ammonium transporter;4;50;4,34E-79;0,08;-3,64385619
;6932285;6933607;;+;-;SCO6276;hypothetical protein;2;33;4,04E-77;0,060606061;-4,044394119
164994;164994;164023;164023;-;-;SCO0174;DNA-binding protein;127;8;2,92E-73;15,875;3,988684687
7842822;7842710;7841463;7841463;-;rho;SCO7051;transcription termination factor Rho;8;86;2,49E-72;0,093023256;-3,426264755
158732;158732;159304;;+;-;SCO0168;regulator protein;326;25;8,83E-68;13,04;3,704871964
2960928;2960928;2960170;2960170;-;-;SCO2716;hypothetical protein;7;81;3,23E-67;0,086419753;-3,532495081
5004212;5004062;5003571;5003526;-;-;SCO4582;hypothetical protein;12;132;3,85E-66;0,090909091;-3,459431619
8061733;8061733;8060696;8060696;-;-;SCO7251;hypothetical protein;7;76;1,04E-65;0,092105263;-3,440572591
4624525;;;4625096;+;-;predicted RNA;antisense: SCO4217 SCO4216;24;213;4,80E-62;0,112676056;-3,14974712
4171314;4171328;4171693;4171984;+;-;SCO3793;hypothetical protein;12;134;2,44E-60;0,089552239;-3,48112669
;6934507;6936138;6936138;+;-;SCO6278;integral membrane transport protein;3;39;9,97E-60;0,076923077;-3,700439718
3861827;;;3862543;+;-;predicted RNA;antisense: SCO3496;23;196;1,55E-59;0,117346939;-3,091147888
1933079;1933166;1933900;1933900;+;-;SCO1805;hypothetical protein;6;70;3,05E-57;0,085714286;-3,544320516
4757411;;;4757878;+;-;predicted RNA;antisense: SCO4344 SCO4343;36;297;1,47E-56;0,121212121;-3,044394119
3904171;;;3904044;-;-;predicted RNA;antisense: SCO3535;8;115;4,81E-56;0,069565217;-3,845490051
5108811;5108811;5108377;5108333;-;-;SCO4677;regulatory protein;28;243;1,14E-54;0,115226337;-3,117457582
8069445;8069445;8070158;8070158;+;-;SCO7257;hypothetical protein;2;33;2,54E-54;0,060606061;-4,044394119
3665102;3664890;3663973;3663962;-;-;SCO3313;hypothetical protein;14;119;6,69E-53;0,117647059;-3,087462841
;806606;806172;;-;-;SCO0762;protease inhibitor protein;425;37;1,41E-52;11,48648649;3,521865665
3903970;;;3903796;-;-;predicted RNA;antisense: SCO3535;13;145;8,70E-52;0,089655172;-3,479469372
;6936149;6937705;;+;-;SCO6279;diaminobutyrate-pyruvate aminotransferase;3;34;1,04E-50;0,088235294;-3,502500341
7675707;;;7676146;+;-;predicted RNA;antisense: SCO6910;22;194;7,00E-50;0,113402062;-3,140481224
3827238;;;3826800;-;-;predicted RNA;antisense: SCO3467;23;200;1,40E-49;0,115;-3,120294234
610282;;;609844;-;-;predicted RNA;antisense: SCO0567;22;193;8,71E-49;0,113989637;-3,133025419
;161027;160356;;-;-;SCO0170;hypothetical protein;170;13;1,18E-48;13,07692308;3,708951218
81676;;;82114;+;-;predicted RNA;antisense: SCO0098;22;190;1,01E-47;0,115789474;-3,11042399
3826136;;;3825698;-;-;predicted RNA;antisense: SCO3466;22;192;3,99E-47;0,114583333;-3,125530882
5207217;5207217;5206750;5206750;-;-;SCO4786;hypothetical protein;2;27;4,18E-47;0,074074074;-3,754887502
5177238;;;5177384;+;-;predicted RNA;antisense: SCO4765;22;233;4,74E-46;0,094420601;-3,404754526
3845847;;;3845897;+;-;predicted RNA;antisense: SCO3482;8;126;6,45E-45;0,063492063;-3,977279923
;189886;188864;;-;-;SCO0199;alcohol dehydrogenase;110;9;2,54E-44;12,22222222;3,611434712
3876344;;;3876058;-;-;predicted RNA;antisense: SCO3507;20;180;1,81E-43;0,111111111;-3,169925001
4979964;;;4979938;-;-;predicted RNA;-;8;126;1,18E-42;0,063492063;-3,977279923
269783;269783;270397;270397;+;-;SCO0278;MutT domain-containing protein;12;101;6,98E-42;0,118811881;-3,073248982
8483721;8483781;8485538;8485540;+;-;SCO7657;hypothetical protein;981;165;2,06E-41;5,945454545;2,571787112
3847694;;;3847735;+;-;predicted RNA;antisense: SCO3484;9;135;4,60E-41;0,066666667;-3,906890596
4759626;4758560;4757715;4757701;-;-;SCO4344;transposase;15;116;1,75E-39;0,129310345;-2,9510904
