Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;M145;MGM12;qValue;fold;log2(fold)
;9304;10410;;+;-;SCO0006;ATP/GTP-binding protein;1;1;1;1;0
;15029;14739;;-;-;SCO0013;hypothetical protein;1;1;1;1;0
;17919;18263;;+;-;SCO0017;hypothetical protein;1;1;1;1;0
;19771;19517;;-;-;SCO0019;hypothetical protein;1;1;1;1;0
;22761;22156;;-;-;SCO0022;IS element ATP-binding protein;1;1;1;1;0
;22843;23061;;+;-;SCO0025;IS element ATP-binding protein;1;1;1;1;0
;24345;23977;;-;-;SCO0027;hypothetical protein;1;1;1;1;0
;24521;24378;;-;-;SCO0028;hypothetical protein;1;1;1;1;0
;25251;25871;;+;-;SCO0030;hypothetical protein;1;1;1;1;0
;28773;26527;;-;-;SCO0033;neuraminidase;1;1;1;1;0
;31520;32137;;+;-;SCO0039;hypothetical protein;1;1;1;1;0
;32134;33357;;+;-;SCO0040;glycosyl transferase;1;1;1;1;0
;33360;33845;;+;-;SCO0041;hypothetical protein;1;1;1;1;0
;33842;34777;;+;-;SCO0042;hypothetical protein;1;1;1;1;0
;36817;36689;;-;-;SCO0045;hypothetical protein;1;1;1;1;0
;39490;39107;;-;-;SCO0048;hypothetical protein;1;1;1;1;0
;43768;43857;;+;-;SCO0056;hypothetical protein;1;1;1;1;0
;53141;54100;;+;-;SCO0066;integral membrane permease;1;1;1;1;0
;54097;54918;;+;-;SCO0067;integral membrane permease;1;1;1;1;0
;54968;56173;;+;-;SCO0068;hydrolase;1;1;1;1;0
;56225;59383;;+;-;SCO0069;hypothetical protein;1;1;1;1;0
;59558;60241;;+;-;SCO0070;hypothetical protein;1;1;1;1;0
;69799;70647;;+;-;SCO0083;transposase;1;1;1;1;0
;79702;78983;;-;-;SCO0095;hypothetical protein;1;1;1;1;0
;91977;92729;;+;-;SCO0111;oxidoreductase;1;1;1;1;0
;92928;92773;;-;-;SCO0112;hypothetical protein;1;1;1;1;0
;99338;98463;;-;-;SCO0120;hypothetical protein;1;1;1;1;0
;103628;104989;;+;-;SCO0124;hypothetical protein;1;1;1;1;0
;105057;106640;;+;-;SCO0125;oxidoreductase;1;1;1;1;0
;106637;112885;;+;-;SCO0126;beta keto-acyl synthase;1;1;1;1;0
;112932;119654;;+;-;SCO0127;beta keto-acyl synthase;1;1;1;1;0
;119841;120215;;+;-;SCO0129;hypothetical protein;1;1;1;1;0
;140299;139703;;-;-;SCO0149;hypothetical protein;1;1;1;1;0
;144363;143776;;-;-;SCO0153;hypothetical protein;1;1;1;1;0
;146351;146034;;-;-;SCO0156;hypothetical protein;1;1;1;1;0
;148216;149184;;+;-;SCO0159;ECF sigma factor;1;1;1;1;0
;170880;170656;;-;-;SCO0182;hypothetical protein;1;1;1;1;0
;170911;172158;;+;-;SCO0183;deoxiribopirymidine photolyase;1;1;1;1;0
;218973;219059;;+;-;SCO0228;hypothetical protein;1;1;1;1;0
;222827;223288;;+;-;SCO0234;oxidoreductase;1;1;1;1;0
;225476;226237;;+;-;SCO0237;oxidoreductase;1;1;1;1;0
;240843;240559;;-;-;SCO0251;hypothetical protein;1;1;1;1;0
;261366;262319;;+;-;SCO0271;binding-protein-dependent transport protein;1;1;1;1;0
;262330;263220;;+;-;SCO0272;binding-protein-dependent transport protein;1;1;1;1;0
;263285;264634;;+;-;SCO0273;substrate binding protein;1;1;1;1;0
;274763;276805;;+;-;SCO0284;alpha-galactosidase;1;1;1;1;0
;282491;283801;;+;-;SCO0290;solute-binding protein;1;1;1;1;0
;283798;284700;;+;-;SCO0291;binding protein dependent transport protein;1;1;1;1;0
;284702;285598;;+;-;SCO0292;sugar ABC-transporter integral membrane protein;1;1;1;1;0
;285714;288104;;+;-;SCO0293;beta-xylosidase;1;1;1;1;0
;298311;298105;;-;-;SCO0303;hypothetical protein;1;1;1;1;0
;298836;298468;;-;-;SCO0304;hypothetical protein;1;1;1;1;0
;307575;309131;;+;-;SCO0311;ligase;1;1;1;1;0
;310378;311727;;+;-;SCO0313;transmembrane transport protein;1;1;1;1;0
;319345;318329;;-;-;SCO0318;oxidoreductase;1;1;1;1;0
;320008;319499;;-;-;SCO0319;hypothetical protein;1;1;1;1;0
;325069;324467;;-;-;SCO0323;hypothetical protein;1;1;1;1;0
;327899;328264;;+;-;SCO0325;hypothetical protein;1;1;1;1;0
;335948;336292;;+;-;SCO0334;hypothetical protein;1;1;1;1;0
;341992;342561;;+;-;SCO0339;dehydrogenase;1;1;1;1;0
;345663;343234;;-;-;SCO0341;large hypothetical protein;1;1;1;1;0
;347706;345817;;-;-;SCO0342;hypothetical protein;1;1;1;1;0
;351529;352779;;+;-;SCO0347;racemase;1;1;1;1;0
;352776;353795;;+;-;SCO0348;2-hydroxyacid dehydrogenase;1;1;1;1;0
;355683;357158;;+;-;SCO0351;hypothetical protein;1;1;1;1;0
;360305;360646;;+;-;SCO0355;hypothetical protein;1;1;1;1;0
;368143;369252;;+;-;SCO0363;hypothetical protein;1;1;1;1;0
;377255;373998;;-;-;SCO0369;hypothetical protein;1;1;1;1;0
;380690;377286;;-;-;SCO0370;DNA-binding protein;1;1;1;1;0
;383360;380751;;-;-;SCO0371;hypothetical protein;1;1;1;1;0
;386592;383578;;-;-;SCO0372;hypothetical protein;1;1;1;1;0
;391123;389531;;-;-;SCO0375;integral membrane transport protein;1;1;1;1;0
;407253;409214;;+;-;SCO0388;hypothetical protein;1;1;1;1;0
;410774;412006;;+;-;SCO0390;hypothetical protein;1;1;1;1;0
;435456;436103;;+;-;SCO0418;DNA-binding protein;1;1;1;1;0
;442579;440282;;-;-;SCO0423;membrane transport protein;1;1;1;1;0
;442700;443191;;+;-;SCO0424;hypothetical protein;1;1;1;1;0
;465861;465496;;-;-;SCO0446;hypothetical protein;1;1;1;1;0
;468153;469232;;+;-;SCO0449;solute-binding lipoprotein;1;1;1;1;0
;472458;473747;;+;-;SCO0453;solute-binding lipoprotein;1;1;1;1;0
;500780;501412;;+;-;SCO0480;hypothetical protein;1;1;1;1;0
;543535;543119;;-;-;SCO0507;hypothetical protein;1;1;1;1;0
;561545;560127;;-;-;SCO0529;oxidoreductase;1;1;1;1;0
;562803;564071;;+;-;SCO0531;sugar transporter sugar binding protein;1;1;1;1;0
;564141;565049;;+;-;SCO0532;sugar transporter membrane protein;1;1;1;1;0
;565046;565903;;+;-;SCO0533;sugar transporter membrane protein;1;1;1;1;0
;566007;567626;;+;-;SCO0534;beta-hexosaminidase;1;1;1;1;0
;567623;569044;;+;-;SCO0535;hydrolase;1;1;1;1;0
;570520;571848;;+;-;SCO0538;sugar transporter sugar binding lipoprotein;1;1;1;1;0
;571863;572813;;+;-;SCO0539;sugar transporter membrane protein;1;1;1;1;0
;587988;586987;;-;-;SCO0547;acyltransferase;1;1;1;1;0
;589546;589268;;-;-;SCO0549;acyl carrier protein;1;1;1;1;0
;595338;593641;;-;-;SCO0554;beta-mannosidase;1;1;1;1;0
;597079;595484;;-;-;SCO0555;membrane-bound oxidoreductase;1;1;1;1;0
;628164;627628;;-;-;SCO0585;ATP/GTP binding protein;1;1;1;1;0
