Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;M145;MGM11;qValue;fold;log2(fold)
4805781;;;4805199;-;-;predicted RNA;antisense: SCO4388;95;1764;0;0,053854875;-4,214779237
5124334;;;5124095;-;-;predicted RNA;antisense: SCO4699;8;473;0;0,016913319;-5,885696373
5127320;;;5127082;-;-;predicted RNA;antisense: SCO4700;18;552;0;0,032608696;-4,938599455
5469547;;;5469268;-;-;predicted RNA;antisense: SCO5033;393;15;1,97E-222;26,2;4,711494907
1039869;;;1039843;-;-;predicted RNA;antisense: SCO0985;8;239;1,28E-141;0,033472803;-4,900866808
5648458;;;5648492;+;-;predicted RNA;-;44;1183;2,04E-136;0,037193576;-4,74880274
2258205;;;2257484;-;-;predicted RNA;antisense: SCO2100;1980;11985;2,04E-123;0,165206508;-2,597657574
3330522;;;3330497;-;-;predicted RNA;antisense: SCO3042;8;220;4,20E-121;0,036363636;-4,781359714
846081;;;845613;-;-;predicted RNA;antisense: SCO0798;313;20;1,21E-109;15,65;3,968090752
5119499;;;5119338;-;-;predicted RNA;antisense: SCO4693;27;481;4,59E-102;0,056133056;-4,155005582
2037804;;;2037778;-;-;predicted RNA;antisense: SCO1903;8;206;3,68E-101;0,038834951;-4,686500527
4637476;;;4637340;-;-;predicted RNA;-;23;419;4,07E-91;0,054892601;-4,187244478
4622963;;;4622753;-;-;predicted RNA;-;340;20;4,83E-78;17;4,087462841
2413185;;;2413536;+;-;predicted RNA;antisense: SCO2244;38;380;7,52E-62;0,1;-3,321928095
4386937;;;4386979;+;-;predicted RNA;-;14;302;1,55E-57;0,046357616;-4,431049817
2859926;;;2859484;-;-;predicted RNA;antisense: SCO2632;161;1011;3,81E-57;0,159248269;-2,650650404
2860751;;;2860803;+;-;predicted RNA;-;469;26;1,39E-56;18,03846154;4,173004394
3979752;;;3979531;-;-;predicted RNA;-;53;501;2,48E-50;0,105788423;-3,240746339
6273781;;;6273673;-;-;predicted RNA;antisense: rrnE;13;209;6,16E-40;0,062200957;-4,006919414
6484353;;;6484917;+;-;predicted RNA;-;17393;1317;1,17E-39;13,20652999;3,723179544
4321607;;;4321755;+;-;predicted RNA;-;32;365;4,86E-39;0,087671233;-3,511752654
1469934;;;1470043;+;-;predicted RNA;antisense: rrnC;13;206;2,49E-36;0,063106796;-3,986060809
1917812;;;1917921;+;-;predicted RNA;antisense: rrnB;13;206;2,49E-36;0,063106796;-3,986060809
3297972;;;3298081;+;-;predicted RNA;antisense: SCOr08;13;206;2,49E-36;0,063106796;-3,986060809
3686745;;;3686854;+;-;predicted RNA;antisense: rrnF;13;206;2,49E-36;0,063106796;-3,986060809
4534457;;;4534348;-;-;predicted RNA;antisense: rrnA;13;206;2,49E-36;0,063106796;-3,986060809
5123861;;;5122892;-;-;predicted RNA;antisense: SCO4699 SCO4698;300;1326;6,81E-35;0,226244344;-2,14404637
5127248;;;5127291;+;-;predicted RNA;-;135;1338;1,66E-33;0,100896861;-3,309046804
3933658;;;3933555;-;-;predicted RNA;-;150;1072;2,58E-31;0,139925373;-2,8372705
4741478;;;4741674;+;-;predicted RNA;-;31;294;9,22E-31;0,105442177;-3,245476034
669659;;;669929;+;-;predicted RNA;antisense: SCO0627;1184;4708;1,19E-30;0,251486831;-1,991445239
2258037;;;2258201;+;-;predicted RNA;-;82;584;4,19E-28;0,140410959;-2,832272554
